name_en,name_ru
Halina32,Halina32
Halina4,Halina4
"L"handle,"L"ручка
"u"handle,"u"ручка
"L"handle+Wave2,"L"ручка+Волна2
Sparta,Sparta
ViennaPL,ViennaPL
Arch,Арка
BaguetteTall,БагетВысокий
BaguetteTall"Ш",БагетВысокий"Ш"
Balustrade,Балюстрада
Bravo,Брава
Bravo+Wave1,Брава+Волна1
Bravo+Wave2,Брава+Волна2
s.o.,в.о.
s.o. quarter,в.о. с четвертью
s.c.,в.р.
s.c. quarter,в.р. С четвертью
s.c-10,В.р-10
s.c-4,в.р-4
s.c-6,в.р-6
s.c-8,в.р-8
s.x less quarter,В.х без четверти
s.x with quarter,в.х. с четвертью
s.x-2,в.х-2
s.x-2 with quarter,в.х-2 с четвертью
s.x-3,в.Х-3
s.x-3 with quarter,в.х-3 с четвертью
s.x-4,в.х-4
s.x-4 with quarter,в.х-4 с четвертью
s.x-5,в.Х-5
Wave,Волна
Wave2,Волна2
Bent,Гнутый
DSP,ДСПизЦеха
PlugPVC,ЗаглушкаПВХ
Cargo,Карго
Contour,Контур
Contour_GL,контур_GL
Contour_Bravo,Контур_Брава
Contour_Vienna,контур_Vienna
Roof,Крыша
Line,Линии
Pilaster,Пилястра
By Drawings,По чертежу
Grid,Решётка
Bevel,Скос
Cut 45",Срез 45"
Corner,Уголок
CornerPVC_outer,УголПВХ_внеш
CornerPVC_inside,УголПВХ_внутр
PlinthPVC,ЦокольПВХ
